,Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Views,Likes,Comments,Licensed,Stream,most_playedon,duration_ms,explicit,year,popularity,key,genre
1352,Florida Georgia Line,Cruise,Here's To The Good Times,album,0.457,0.948,-3.364,0.0354,0.0191,0.0,0.0536,0.878,148.0,3.482666666666667,153761462,719127,29122,True,372030041,Spotify,208960,False,2012,57,10,country
1353,WILLOW,Wait a Minute!,ARDIPITHECUS,album,0.764,0.705,-5.279,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,3.275333333333333,2397920,50950,740,False,834934023,Spotify,196520,False,2015,86,3,"pop, R&B, Dance/Electronic"
1354,Stormzy,Vossi Bop,Heavy Is The Head,album,0.682,0.653,-6.062,0.339,0.13,0.00116,0.129,0.428,188.115,3.2711166666666665,146611813,1621753,42583,False,312930859,Spotify,196266,True,2019,64,8,"hip hop, Dance/Electronic"
1355,Disclosure,Latch,Settle (Deluxe),album,0.729,0.735,-5.455,0.0919,0.0178,0.000193,0.089,0.544,121.986,4.26445,422714286,2389006,63448,False,820752768,Spotify,255631,False,2013,74,1,"pop, Dance/Electronic"
1356,Disclosure,Latch,Settle (Deluxe),album,0.729,0.735,-5.455,0.0919,0.0178,0.000193,0.089,0.544,121.986,4.26445,422714286,2389006,63448,False,820752768,Spotify,255631,False,2013,74,1,"pop, Dance/Electronic"
1357,Vintage Culture,This Feeling,This Feeling,single,0.696,0.685,-6.64,0.0376,0.0156,0.406,0.205,0.206,124.985,3.274,1521298,14321,541,False,14695860,Spotify,197946,False,2018,73,1,"pop, Dance/Electronic"
1358,The Chainsmokers,This Feeling,Sick Boy,album,0.575,0.571,-7.906,0.0439,0.0558,0.0,0.0912,0.449,105.049,3.2991166666666665,57253999,585752,10974,True,556580203,Spotify,197946,False,2018,73,1,"pop, Dance/Electronic"
1359,Kelsea Ballerini,This Feeling,Sick Boy,album,0.575,0.571,-7.906,0.0439,0.0558,0.0,0.0912,0.449,105.049,3.2991166666666665,57254025,585752,10974,True,556713878,Spotify,197946,False,2018,73,1,"pop, Dance/Electronic"
1360,ScHoolboy Q,Collard Greens,Oxymoron (Deluxe),album,0.825,0.575,-4.87,0.0633,0.025,9.94e-06,0.205,0.65,153.954,4.999333333333333,176588639,1162033,39019,True,490219494,Spotify,299960,True,2014,0,11,"hip hop, pop"
1361,ScHoolboy Q,Man Of The Year,Oxymoron (Deluxe),album,0.749,0.865,-5.228,0.0413,0.00536,0.0,0.198,0.371,111.914,3.600216666666667,93132807,595865,20505,True,335500558,Spotify,216013,True,2014,0,3,"hip hop, pop"
1362,Rita Ora,I Will Never Let You Down,I Will Never Let You Down,single,0.753,0.801,-3.215,0.0296,0.403,0.0,0.128,0.794,128.011,3.3911166666666666,177408879,815413,23761,True,195845821,Spotify,203466,False,2014,65,4,"hip hop, pop, Dance/Electronic"
