artist,Track,duration_ms,explicit,year,popularity,key,genre
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,217120,FALSE,2001,54,2,Dance/Electronic
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,262133,TRUE,2001,66,11,"hip hop, pop, R&B"
Musiq Soulchild,Love,304666,FALSE,2000,0,1,"pop, R&B"
So Solid Crew,21 Seconds,302826,TRUE,2001,51,1,Dance/Electronic
Robbie Williams,Eternity,302760,FALSE,2001,48,10,"pop, rock"
Basement Jaxx,Romeo,217493,FALSE,2001,0,2,"pop, Dance/Electronic"
Ludacris,Southern Hospitality (Featuring Pharrell),300933,TRUE,2000,54,0,"hip hop, pop"
Gabrielle,Rise,219093,FALSE,2001,60,8,"pop, R&B"
Nelly,Ride Wit Me,291781,TRUE,2000,75,7,"hip hop, pop, R&B"
Trick Daddy,I'm a Thug,254400,TRUE,2001,59,11,"hip hop, pop"
Travis,Sing,228800,FALSE,2001,68,4,"rock, pop"
JAY-Z,Izzo (H.O.V.A.),240626,TRUE,2001,63,1,hip hop
Gabrielle,Out Of Reach,196986,FALSE,2001,69,11,"pop, R&B"
OPM,Heaven Is a Halfpipe (If I Die),257426,TRUE,2000,56,8,rock
K-Ci & JoJo,Crazy,262773,FALSE,2019,30,0,"pop, R&B"
Staind,It's Been Awhile,264706,TRUE,2001,64,6,"rock, metal"
3LW,No More (Baby I'ma Do Right),263440,FALSE,2000,56,2,"pop, R&B"
Ginuwine,Differences,265533,FALSE,2001,65,3,"hip hop, pop, R&B"
*NSYNC,Gone,292000,FALSE,2001,45,11,pop
Lifehouse,Hanging By A Moment,216360,FALSE,2000,61,1,"pop, rock, metal"
Nelly,Dilemma,289160,TRUE,2002,77,2,"hip hop, pop, R&B"
Eminem,Without Me,290320,TRUE,2002,87,7,hip hop
Avril Lavigne,Complicated,244506,FALSE,2002,78,5,pop
Vanessa Carlton,A Thousand Miles,237493,FALSE,2002,75,11,"Folk/Acoustic, pop"
The Calling,Wherever You Will Go,208600,FALSE,2001,72,2,pop
Shakira,Underneath Your Clothes,224066,FALSE,2001,64,8,"pop, latin"
No Doubt,Underneath It All,302720,FALSE,2001,27,4,"rock, pop"
Truth Hurts,Addictive,226440,TRUE,2002,58,11,"pop, R&B"
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),324306,TRUE,2002,68,6,"hip hop, pop"
Eminem,Till I Collapse,297786,TRUE,2002,85,1,hip hop
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",285586,FALSE,2004,69,1,"hip hop, pop"
Christina Milian,When You Look At Me - Radio Edit,222546,FALSE,2001,60,3,"hip hop, pop, R&B"
Madonna,Die Another Day,276360,FALSE,2003,53,0,pop
Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),172240,FALSE,2002,53,10,"hip hop, pop, R&B"
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),244466,FALSE,2019,40,9,pop
Linkin Park,In the End,216880,FALSE,2000,83,3,"rock, metal"
Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,213973,FALSE,2002,66,1,set()
Aaliyah,Rock The Boat,275026,FALSE,2019,0,5,"hip hop, pop, R&B"
Holly Valance,Kiss Kiss,204400,FALSE,2002,54,4,"pop, Dance/Electronic"
Sugababes,Round Round,236426,FALSE,2002,59,6,"pop, R&B"
Marilyn Manson,Tainted Love,200426,FALSE,2003,60,8,"rock, metal"
Brandy,What About Us?,253200,FALSE,2002,43,5,"hip hop, pop, R&B"
Chad Kroeger,Hero (feat. Josey Scott),200480,FALSE,2003,66,4,metal
Britney Spears,Overprotected - Radio Edit,198600,FALSE,2001,61,0,pop
Scooter,The Logical Song,234116,FALSE,2013,46,6,"pop, Dance/Electronic"
Missy Elliott,4 My People (feat. Eve),289373,TRUE,2001,49,1,"hip hop, pop, R&B"
Aaliyah,More Than A Woman,230346,FALSE,2002,42,11,"hip hop, pop, R&B"
Brandy,Full Moon,248933,FALSE,2002,52,10,"hip hop, pop, R&B"
Blue,One Love,207186,FALSE,2002,60,8,pop
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,238600,TRUE,2001,55,6,"hip hop, pop"
Céline Dion,A New Day Has Come - Radio Remix,259773,FALSE,2001,59,6,pop
Scooter,Nessaja,208449,FALSE,2013,47,2,"pop, Dance/Electronic"
Eve,Gangsta Lovin',239266,TRUE,2002,58,1,"hip hop, pop, R&B"
Disturbing Tha Peace,Move Bitch,272293,TRUE,2002,59,1,"hip hop, pop"
Khia,"My Neck, My Back (Lick It)",222560,TRUE,2015,59,9,"pop, R&B"
Tweet,Oops (Oh My) [feat. Missy Elliott],237800,TRUE,2002,64,10,"hip hop, pop, R&B"
Kylie Minogue,Spinning Around,207866,FALSE,2000,55,6,"pop, Dance/Electronic"
Nelly,Hot In Herre,228240,TRUE,2002,75,11,"hip hop, pop, R&B"
Gareth Gates,Anyone of Us (Stupid Mistake),227866,FALSE,2003,53,1,pop
Christina Aguilera,Dirrty (feat. Redman),298853,FALSE,2002,68,2,pop
B2K,Uh Huh,223293,FALSE,2002,49,2,"hip hop, pop, R&B"
Sugababes,Freak Like Me,195866,FALSE,2002,45,5,"pop, R&B"
Dirty Vegas,Days Go By,432146,FALSE,2002,48,9,Dance/Electronic
Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),267093,TRUE,2001,73,8,"hip hop, pop"
Liberty X,Just A Little,237359,FALSE,2019,43,5,pop
No Doubt,Hella Good,242586,FALSE,2001,26,8,"rock, pop"
LL Cool J,Luv U Better,287000,FALSE,2002,2,6,"hip hop, pop, R&B"
Red Hot Chili Peppers,Can't Stop,269000,FALSE,2002,80,9,rock
Musiq Soulchild,Halfcrazy,254493,FALSE,2002,58,11,"pop, R&B"
Sean Paul,Gimme the Light,228000,TRUE,2002,59,2,"hip hop, pop"
Faith Evans,I Love You,267160,FALSE,2001,53,11,"hip hop, pop, R&B"
Charli Baltimore,Down 4 U,318213,TRUE,2002,47,7,pop
